title,time,fake or real
هذا المقطع يظهر عملاً فنياً وليس كتابًا باسم “Morisa” غلافه مصنوع من جلد إنسان,29 مارس 2024,fake
هذا المقطع معدّل، ولا يبين شابًا يصفع دونالد ترامب بعد سخريته من أكراد مؤخراً,20 مارس 2024,fake
هذا المقطع معدل رقميًا وغير حقيقي، ولا يبين شعاع ليزر تسبب في حرائق غابات ولاية تكساس الأمريكية مؤخرًا,10 مارس 2024,fake
هذا المقطع يظهر عثور غواص على صندوق يحتوي رفات بشرية وليس نسخة قديمة من القرآن,24 فبراير 2024,fake
هذا الفيديو معدل رقميًّا، ولا صحة لخبر اكتشاف أسماك بوجوه تشبه البشر في بحيرة تدعى “سامسارا”,9 فبراير 2024,fake
هذا المقطع يظهر اشتعال النيران في سفينتي نقل غاز عام 2019 في البحر الأسود وليس من استهداف السفينة “مارلين لواندا” مؤخرًا,29 يناير 2024,fake
هذه المشاهد تعود لعام 2021، ولا تظهر ردًّا من الحوثيين على الضربات الأمريكية والبريطانية التي استهدفتهم مؤخرًا,14 يناير 2024,fake
هذا المقطع يظهر احتراق مركب قبالة سواحل سلطنة عُمان، وليس لاستهداف الحوثيين لناقلة نفط بريطانية,31 ديسمبر 2023,fake
هذا المقطع ليس من استهداف السفينة البلغارية، بل يظهر اشتعال النيران في سفينة الشحن ميرسك هونام عام 2018,17 ديسمبر 2023,fake
هذا الفيديو يعود لاحتراق سفينة قرب سواحل سريلانكا عام 2021 وليس للسفينة التي أعلن الحوثيون استهدافها مؤخرًا,5 ديسمبر 2023,fake
هذا الفيديو ليس من المسيرة التضامنية مع غزة في بولندا بل متداول منذ 1 أكتوبر لمسيرة احتجاجية معارضة,23 نوفمبر 2023,fake
هذا الفيديو متداول منذ عام 2014 على الأقل وليس من الصواريخ التي أطلقها حزب الله من جنوب لبنان مؤخرًا,7 نوفمبر 2023,fake
هذا المقطع الذي قيل إنه يظهر أخطبوطًا في مرآب سيارات في قطر غير حقيقي بل معدل رقميًّا,18 أكتوبر 2023,fake
هذه المشاهد تعود للعبة محاكاة عسكرية ولا تظهر إسقاط مقاتلة حربية في غزة حديثًا,9 أكتوبر 2023,fake
هذه الصورة عبارة عن تصميم رقمي، ولا تبين سفينة حقيقية في بحر الآرال,17 سبتمبر 2023,fake
هذا المقطع قديم ومتداول منذ عام 2016، ولا يبين سيولًا في إحدى مناطق ليبيا مؤخرًا,14 سبتمبر 2023,fake
هذه الصور ليست لإصلاحاتٍ قام بها حارس مدرسة في الجزائر مؤخراً,6 سبتمبر 2023,fake
هذه الصورة مفبركة، ولا تظهر طائرة تابعة للخطوط الجوية الحضرمية,26 يوليو 2023,fake
هذا المقطع يبين ظهور قرش في إحدى الشواطئ في إسبانيا وليس في تونس,27 يونيو 2023,fake
هذه الصور من صنع برامج الذكاء الاصطناعي ولا تظهر “تَنانين” صنعتها الصين,18 مايو 2023,fake
هذا المقطع لا يظهر اعترافًا من فايزر بأنها نفذت خديعة الحكومة بلقاحها المضاد لكوفيد-19,11 أبريل 2023,fake
هذه الوثيقة لا تظهر وجود مادة أكسيد الجرافين في لقاح فايزر المضاد لكوفيد 19,30 مارس 2023,fake
لا، لم تصدر الفلبين مذكرة توقيف بحقّ بيل غيتس بسبب لقاحات كوفيد 19,17 مارس 2023,fake
هذا المقطع يعود لعام 2010، ولا يصوّر لحظة سقوط طائرة جزائرية في بوفاريك,5 مارس 2023,fake
هذه الصور قديمة ولا تبين ظهور ما يسمى “الضوء الزلزالي” في سماء سوريا مؤخرًا,21 فبراير 2023,fake
هذا المقطع متداول منذ عام 2022، ولا يبين اعتداءً على وفد النادي الأهلي في المغرب مؤخرًا,14 فبراير 2023,fake
هذا المقطع متداول منذ عام 2018، ولا يبين مشاهد لمسجد في تركيا,10 فبراير 2023,fake
هذا المقطع متداول منذ عام 2017، ولا يبين حدوث تسونامي في تركيا مؤخرًا,7 فبراير 2023,fake
هذا المقطع قديم ولا يظهر شخصًا يُدخل قارورة خمر إلى جوار الكعبة,30 يناير 2023,fake
المشاهد الواردة في هذا المقطع قديمة من أحداث مختلفة، وليست من الجزائر مؤخرًا,21 يناير 2023,fake
هذا المقطع قديم، ولا يظهر حادث تصادمٍ في ليبيا بسبب الأمطار مؤخرًا,14 يناير 2023,fake
هذا المقطع يصور أنثى دبور تجلب فريسة وليس لأنثى دبور تدفن زوجها,8 يناير 2023,fake
هذه ليست بعوضة طُبع عليها أرقام، بل حشرة مِن فصلية “المنّ” عليها بقع طبيعية,29 ديسمبر 2022,fake
هذا المقطع من برنامج كوميدي، ولا يبين عناصر من الشرطة السودانية في الخرطوم,21 ديسمبر 2022,fake
هذه الصورة مفبركة، ولم تنشر نيويورك تايمز هذا الخبر عن المشجعين المغاربة,12 ديسمبر 2022,fake
هذه الصورة معدلة ولم يتوقع سيمبسون فوز منتخب المغرب بكأس العالم 2022,5 ديسمبر 2022,fake
هذا المقطع قديم يعود لعام 2019 في المغرب ولا علاقة له بمرض الزومبي أو بالعراق,27 نوفمبر 2022,fake
هذه الصور قديمة ولا تبين هبوطًا اضطراريا لطائرة منتخب كوستاريكا في الكويت,20 نوفمبر 2022,fake
هذا المقطع يعود لتدريبات في ألمانيا عام 2018، ولا يظهر حادثة إطلاق نار في نيويورك,31 أكتوبر 2022,fake
قدرة اليقطين على علاج التهاب البروستاتا وانقطاع البول لا أساس لها من الصحة,24 أكتوبر 2022,fake
هذا المقطع قديم وليس من إعصار “إيان” في ولاية فلوريدا الامريكية,30 سبتمبر 2022,fake
هذا المقطع يصور غرق مركب مهاجرين قبالة سواحل ليبيا عام 2016، وليس حديثًا,25 سبتمبر 2022,fake
المقطع المتداول لحادث سقوط لعبة يعود لمهرجان في الهند وليس بغداد,9 سبتمبر 2022,fake
هذا المقطع قديم، ويظهر احتفالات جماهير الزمالك بالفوز ببطولة الدوري المصري عام 2021,27 أغسطس 2022,fake
هذا المقطع يعود إلى باكستان، ولا علاقة له بالحرائق الأخيرة في ولاية سوق أهراس,19 أغسطس 2022,fake
هذا المقطع المتداول قديم، ولا يصور سيولا تشكلت في إمارة الفجيرة مؤخرا,1 أغسطس 2022,fake
الأفيليون هو حدث فلكي سنوي، ولا يتسبب بإحداث تغييرات كبيرة على الطقس,22 يوليو 2022,fake
هذه المقطع المتداول يعود لفيديو مركب رقميًا وآخر قديم، وليس إلى سقوط طائرة حجاج إندونيسية,10 يوليو 2022,fake
وزارة التخطيط تنفي نيتها العمل على تحديد النسل في العراق,28 يونيو 2022,fake
هذه الصورة معدلة رقميّا وليست صورة حقيقية للسماء خلف الأهرامات,21 يونيو 2022,fake
هذا المقطع التقط في أحد مساجد المغرب وليس في العاصمة اليمنية صنعاء,8 يونيو 2022,fake
هذا المقطع يظهر هتاف جماهير ليفربول الإنجليزي قبل نهائي دوري أبطال أوروبا وليس بعده,31 مايو 2022,fake
هذه الصورة لا تظهر مصحة نفسية في روسيا بل مشهدا من عرض مسرحي راقص في ألمانيا,26 مايو 2022,fake
هذه الصورة قديمة وتعود إلى صربيا، ولا تظهر سماء الصين باللون الأحمر,13 مايو 2022,fake
هذا المقطع لاستقبال عيدروس الزبيدي في مدينة عدن قديم وليس بعد تأديته اليمين الدستوري,23 أبريل 2022,fake
هذه الصور مفبركة، ولم يتم طلاء طريق المشاة في المشاعر المقدسة باللون البنفسجي,13 أبريل 2022,fake
هذا الفيديو قديم، يظهر عملية حصاد في البرازيل وليس عاصفة رملية مصطنعة في حدود العراق,22 مارس 2022,fake
هذا المقطع يعود لعملية فحص بئر في كندا عام 2010، ولا يظهر البئر التي سقط بها الطفل ريّان,22 فبراير 2022,fake
هذه الصورة المتداولة قديمة ولا تظهر لاعب المنتخب السنغالي “ساديو ماني” رفقة والده,10 فبراير 2022,fake
هذه الصورة قديمة تعود لمحاولة إنقاذ طفل في سوريا، وليس عملية إنقاذ الطفل المغربي ريان,4 فبراير 2022,fake
هذا المقطع المتداول عبارة عن عمل فني ولا يظهر اصطدام قمر صناعي بمحطة الفضاء الدولية,28 يناير 2022,fake
هذا الفيديو يصور هزة أرضية في الصين وليس لحظة وقوع زلزال في مصر,16 يناير 2022,fake
هذه الصورة ليست لوصول لاعبي المغرب إلى الكاميرون بل لمعرض دولي للطائرات في سويسرا,8 يناير 2022,fake
هذه الصورة مفبركة ولا تظهر الإصدار الحقيقي من جريدة البلاد الجزائرية,30 ديسمبر 2021,fake
الادعاءات الواردة في هذا المقطع حول عدم إصابة الأطفال بفيروس كوفيد-19 غير صحيحة,22 ديسمبر 2021,fake
هذه الصورة المتداولة قديمة ومعدلة رقميا، ولا علاقة لها بقرار إغلاق المقاهي في مدينة العيون,15 ديسمبر 2021,fake
هذه الصور تعود إلى شاي الفقاعات في تايوان وليست لشراب براز الماعز في الصين,8 ديسمبر 2021,fake
هذه الصورة المتداولة قديمة ولا علاقة لها بالاحتجاجات الحالية في تركيا,28 نوفمبر 2021,fake
هذه الصورة من مستودع للسيارات في دبي ولا علاقة لها بتونس,21 نوفمبر 2021,fake
هذه الكتلة الصخرية موجودة في مدينة بعلبك اللبنانية ولا علاقة لها بالهرم الأكبر في الجيزة,14 نوفمبر 2021,fake
هذه مضاعفات ظهرت في ذراع مريض كلى بعد إجراء عملية وليس لها علاقة بلقاح كوفيد-19,6 نوفمبر 2021,fake
لا صحة لخبر وفاة طيار شركة دلتا في منتصف الرحلة الجوية بسبب لقاح كوفيد-19,29 أكتوبر 2021,fake
هذه الصورة المتداولة قديمة ولا علاقة لها بالشاب المتهم بسرقة هاتف الصحفي في مصر,23 أكتوبر 2021,fake
هذا المقطع يعود إلى طقوس دينية للهندوس في الهند وليس دهس الأبقار للمسلمين في كشمير,14 أكتوبر 2021,fake
صورة تمثال اللاعب محمد صلاح في إنجلترا مفبركة، والصورة الأصليّة تُظهر حديقة في إيرلندا,6 أكتوبر 2021,fake
هذه الصورة ليست لجثث 50 مهاجر من الجزائر ولم تنشر الجهات الرسمية خبرًا موثقًا بغرقهم,30 سبتمبر 2021,fake
هذا الكائن البحري وجد على شواطئ أستراليا وليس بعد إعصار اليابان HAGIBIS,26 سبتمبر 2021,fake
هذه الصورة ليست لاعتقال المغني سيف نبيل بل تعود إلى كواليس تصوير أغنية,20 سبتمبر 2021,fake
هذا المقطع المتداول قديم ولا علاقة له بالاحتجاج ضد فرض لقاح كوفيد-19 في فرنسا,10 سبتمبر 2021,fake
وجود ثقب الأوزون حقيقة علمية وليس كذبة,31 أغسطس 2021,fake
لا صحة لقصة مجرم اسمه فيفو ماتريانو في البرازيل وهذه الصورة لا علاقة لها بهذه الشخصية,25 أغسطس 2021,fake
هذه مروحية تطفئ حريق في الولايات المتحدة، وليست مروحية تونسية تشارك في إطفاء حرائق الجزائر,17 أغسطس 2021,fake
الصورة المتداولة لهذه الطفلة التقطت في اليونان وليس ولاية تيزي وزو في الجزائر,12 أغسطس 2021,fake
هذه الصورة المتداولة لمدينة إسطنبول التركية قديمة ومعدلة رقميا بواسطة الفوتوشوب,7 أغسطس 2021,fake
هذا المقطع قديم ويعود لحرق علم دولة قطر في ليبيا وليس له علاقة بتونس,29 يوليو 2021,fake
هذه الصورة المتداولة عن الموتى بسبب كوفيد-19 التقطت في ميانمار وليس تونس,26 يوليو 2021,fake
هذه الصورة لا تعود إلى المافيا الإيطالية بل التقطت من أمام مقر BMW في ألمانيا,18 يوليو 2021,fake
هذا حادث في مصنع كيماويات في الصين، وليس تبخر خبير إيراني في منشأة تخصيب يورانيوم,11 يوليو 2021,fake
هذه الصورة قديمة ونشرت على الأقل منذ عام 2020 وليست حديثة في القيروان,1 يوليو 2021,fake
هذه الصورة مفبركة وليست من حفل وداع لاعب ريال مدريد راموس,23 يونيو 2021,fake
هذه الصورة مركبة ولم تُصوّر في الصين بل رُكّبت من صور ملتقطة في مدينة سان فرانسيسكو,17 يونيو 2021,fake
وحيد القرن لم ينقرض وصورة الادعاء تعود لأنثى وحيد القرن الأبيض الشمالي وهي على قيد الحياة,14 يونيو 2021,fake
هذه الصورة قديمة وتعود لمظاهرات في مدينة الخرطوم السودانية عام 2019,6 يونيو 2021,fake
هذا المقطع المتداول يعود تاريخه لعام ٢٠٢٠ وهو لحريق خط مواد بترولية على طريق الإسماعيلية في مصر,26 مايو 2021,fake
هذه صور شاب من مصر وهو لم يمت وما زال على قيد الحياة,20 مايو 2021,fake
هذه صورة معالجة ومعدلة للقمر وليست حقيقية ولم تصدر عن وكالة ناسا,15 مايو 2021,fake
هذا المقطع قديم صُوّر في اليمن عام 2015 ، ولا علاقة له بالمغرب أو سقوط الصاروخ الصيني الشارد,9 مايو 2021,fake
هذا المقطع قديم ويعود لأحداث شغب في مدينة العيون بعد فوز الجزائر بكأس إفريقيا,1 مايو 2021,fake
هذه الصورة مفبركة بهدف السخرية والطائرة لم تُصوّر في مطار معيتيقة الليبي,29 أبريل 2021,real
هذا المقطع يظهر امرأة فقدت وعيها ولم تتوف بمجرد الحكم عليها بالسجن المؤبد,24 أبريل 2021,fake
المظلي في الصورة قفز من تمثال المسيح نفسه وليس من طائرة,15 أبريل 2021,fake
المدرب الألماني لم يُصرح أن منتخب الجزائر يُصنّف ضمن أقوى خمسة منتخبات في العالم,6 أبريل 2021,fake
هذه الصورة ليست للسفينة نينه خاتون التركية بل تصميم فني,29 مارس 2021,fake
هذه صورة غواصة هندية غير نووية تدعى “كرانج” ولم تتعرض لحادث غرق أثناء انطلاقها,24 مارس 2021,fake
هذه العملة غير حقيقية ولم يصدر مصرف لبنان ورقة مليون ليرة,17 مارس 2021,fake
هذا المقطع يُصوّر حادثة شجار ودهس جرت وقائعها في الصين وليس لبنان,7 مارس 2021,fake
هذه الصورة قديمة وليست لعلم الثورة الامريكي فوق البيت الابيض,28 فبراير 2021,fake
فيروس كورونا يُمكنه الإنتقال من خلال الملامسة و الأسطح والأطعمة القلوية لا تقضي على كورونا,24 فبراير 2021,fake
هذا تمثال الرئيس المصري السابق حسني مبارك نُصِب في أذربيجان وليس موسكو,16 فبراير 2021,fake
لم تصنف المدينة المنورة كمدينة آمنة من الأوبئة ولا وجود لهذا التصنيف لدى منظمة الصحة العالمية,10 فبراير 2021,fake
صورة الحبار العملاق هذه ليست حقيقية بل مفبركة,1 فبراير 2021,fake
هذا المقطع لحريق في أحد مستودعات الرياض وليس له علاقة بسوريا,23 يناير 2021,fake
هذه الصورة للواء فاطمة البعداني مفبركة وغير حقيقية وتعود لجنرال امريكي,16 يناير 2021,fake
هذه الصور قديمة ولا علاقة لها بأي احتفالات برأس السنة الجديدة 2021 في باريس,5 يناير 2021,fake
الصورة تظهر جنديا إيرانيا خلال الحرب العراقية الإيرانية ولاعلاقة لها بالجزائر أو مصر,31 ديسمبر 2020,fake
هذا المقطع يعود لمدرسة في تركيا وليس له علاقة في إمارة برقة,24 ديسمبر 2020,fake
هذا المقطع لحريق في مستودع ألعاب نارية في روسيا وليس له علاقة في دبي,15 ديسمبر 2020,fake
صورة اللاعب بيليه عند قبر مارادونا مفبركة وليست حقيقية,28 نوفمبر 2020,fake
بذور المشمش لا تعالج أيا من أنواع السرطان بل وقد تكون مصدر خطر على الصحة.,16 نوفمبر 2020,fake
الفيديو مفبرك ويظهر بوتين يغني في حفل خيري وليس في برنامج The Voice الروسي,3 نوفمبر 2020,fake
هذا المقطع يظهر جسرًا يتأرجح في دولة كازاخستان وليس في العراق أو الجزائر.,22 أكتوبر 2020,fake
تحليل ال PCR دقيق ولا يكشف الجينات البشرية بدل جينات فيروس كورونا.,14 أكتوبر 2020,fake
ملامسة الحيوانات مياه بحيرة النطرون في تنزانيا لا تؤدي إلى التحجر على الفور,5 أكتوبر 2020,fake
هذه الدجاجة أجريت لها فعلا عملية جراحية في البرازيل وليس مصر,27 سبتمبر 2020,fake
هذا المقطع يعود لمظاهرات قديمة في السويس – مصر عام 2019 وليس لأحداث جديدة.,20 سبتمبر 2020,fake
هذا مشهد تمثيلي اقتبس من مسلسل أمريكي ولا علاقة له بجريمة انتقام طالب من زملائه,15 سبتمبر 2020,fake
هذه الطفلة لم تكن وفاتها بسبب شاحن هاتف محمول,6 سبتمبر 2020,fake
إِضاءة علم إسرائيل على برج خليفة – هذه الصورة مفبركة وليست حقيقة,20 أغسطس 2020,fake
صوامع مرفأ بيروت بُنيت في العهد العثماني .. هذا الادّعاء زائف,15 أغسطس 2020,fake
صورة أهرامات مصر تضيء إثر انفجارات بيروت غير صحيحة,5 أغسطس 2020,fake
إذا وضعت العملات المعدنية بالمكسيك فوق بعضها فــلن تُشكّل التقويم الفلكي لحضارة المايا,29 يوليو 2020,fake
هذه الصورة لرجل يحمل مومياء أحد أسلافه ولم يقتل امرأته بسبب شعرة في طعامه,20 يوليو 2020,fake
صورة جندي يحمل حمارًا لإسعافه وليس للعبور عبر حقل ألغام!,13 يوليو 2020,fake
صورة تُظهر نتيجة تجارب لقاح شلل الأطفال التي يوزعها بيل جيتس في إفريقيا.. مضلل,7 يوليو 2020,fake
أجسام غريبة تظهر على سطح القمر بشكل مريب (مقطع) – مفبرك,28 يونيو 2020,fake
احذروا سمك الماكريل المستورد جاي و معاه ڤيروس كورونا سارس ٢.. زائف,20 يونيو 2020,fake
مشعوذ أُحرق في المغرب وهو حي في بث مباشر- عنوان مضلل,14 يونيو 2020,fake
أمريكا: الشرطة تطارد شخص سرق دبابة (فيديو) – مضلل,1 يونيو 2020,fake
وفاة المطربة اللبنانية فيروز – خبر زائف,26 مايو 2020,fake
الصحة العالمية الكحول لا يقتل فيروس كورونا المُستجد.. زائف,18 مايو 2020,fake
فيديوهات مضللة حول دبور قاتل انتشر بعد فيروس كورونا,12 مايو 2020,fake
خطير..فيروس كورونا مطور مخبريا لاحتوائه على حصة من فيروس الإيدز – هل هذا صحيح ؟,6 مايو 2020,real
سيمبسون تنبأ بوفاة زعيم كوريا الشمالية وتولّي أخته الحكم – مضلل!,30 أبريل 2020,fake
الحبس في منزل أشباح عقوبة مخالفي الحجر المنزلي في إندونيسيا – نعم صحيح!,25 أبريل 2020,real
مركب MMS يعالج فيروس كورونا وأي عدوى أو مشكلة بالجسم.. خبر زائف,19 أبريل 2020,fake
مارتن ريس قبل 17 عام يصرّح 2020 هو عام خطأ بيولوجي سيقتل مليون انسان – خبر صحيح,14 أبريل 2020,real
منظمة الصحة العالمية تحتفل بمدينة ووهان بعد نجاح علاج كورونا – زائف,9 أبريل 2020,fake
انتحار أمريكي بعد إصابته بفيروس كورونا . عنوان مضلل,2 أبريل 2020,fake
الإيطاليون يقلدون المسلمين في الدعاء والصلاة في ظل أزمة كورونا ..خبر زائف,25 مارس 2020,fake
قطار يحمل اسم فيروس كورونا COVID19 شُوهد عام 2019 .. ما الحقيقة؟,18 مارس 2020,fake
أسد في إحدى الغابات يشاهد شيئا عند موته لا نراه! ما حقيقة ذلك؟,7 مارس 2020,fake
244 حالة إصابة تخص فيروس كورونا في السعودية ووفاة 18 شخصاً. ما حقيقة ذلك؟,21 فبراير 2020,fake
أنثى ثعلب تقوم بإرضاع مجموعة من صغار الدب ماتت أمهم!ما حقيقة ذلك؟,1 فبراير 2020,fake
توأمان أحدهما سارق وتمت تبرئتهما بسبب تشابه الـ DNA لهما ….حقيقة أم خرافة؟,18 يناير 2020,fake
هل النظر المباشر للشمس أثناء الكسوف قد يسبب العمى؟ تقرير مفصل,26 ديسمبر 2019,real
روبوت يتعلم إطلاق النار على الأهداف كالبشر!….حقيقة أم خرافة؟,29 أكتوبر 2019,fake
ما حقيقة(فيديو)سكب كمية من سم الثعابين على كمية كبيرة من الدم؟,2 أكتوبر 2019,fake
اكتشاف حيوانات غريبة بالقرب من كهف – عنوان مضلل,18 أغسطس 2019,fake
هذا المقطع يعود لسلحفاة تدعى القاطور النهاشة وصوت الصراخ مركب على المقطع,14 يوليو 2019,fake
هذا الفيديو يظهر قطيع أغنام بلجيكية المنشأ ولا وجود لحيوان مستنسخ يدعى خنزروف,28 مايو 2019,fake
فيديو معجزة ظهور خيل في السماء – زائف,22 أبريل 2019,fake
هذه الطفلة تعاني من مرض جلدي ولم يُقدّر العلماء عمرها ب110 عام,6 أبريل 2019,fake
ما حقيقة صورة الطفل الذي مزقت الكلاب وجهه في مصر,1 مارس 2019,fake
العطس قد يتسبب في توقف القلب وخروج العينين من مكانهما.. زائف جزئيا,28 يناير 2019,fake
ما حقيقة(فيديو)سحر خبيث يسبب العمى؟,1 يناير 2019,fake
هل غلي الماء مرتين يؤدي إلى انخفاض الأوكسجين فيه ويجعله مؤذيا للجسم؟,7 ديسمبر 2018,fake
ما تفسير ظاهرة شلالات المياه التي تجري إلى الأعلى؟,5 نوفمبر 2018,fake
ما حقيقة (فيديو) هبوط طائرة صينية بسلام بعد أن ضربها إعصار؟,23 سبتمبر 2018,fake
هذه الصور تعود لتماثيل لشخصية خيالية وليست لشخص له وجهين,8 أغسطس 2018,fake
فك سيدة مجمدة بالنتروجين بعد حوالي 40 عام – زائف جزئيا,5 يوليو 2018,fake
ما حقيقة فيديو مخلوقات غريبة تمر عبر أسطح البيوت؟,25 مايو 2018,fake
ما حقيقة أن اللون بالمربع أسفل كل عبوة يشير إلى معلومة هامة فى تركيبه؟,14 أبريل 2018,fake
الابر الصينيّة-بين الخرافة والحقيقة,24 فبراير 2018,real
هذه سيارة ترش الماء في الصين لمكافحة الضباب الدخاني وليس لرش العطر,3 ديسمبر 2017,fake
صور مفبركة لمظاهرات فتيات يطالبن الرجال بتعدد الزوجات!,15 نوفمبر 2016,fake
ما حقيقة ولادة طفل شبيه بالدجال؟,5 نوفمبر 2016,fake
يُستخرج المسك من أنثى الغزال بعد أن تلد وتتخلص من هذه الحويصلات..ما الحقيقة,5 نوفمبر 2016,fake
